"meta_score","title","platform","user_score"
73,"WarioWare D.I.Y. Showcase","WII",7.8
82,"WarioWare D.I.Y.","DS",8.2
87,"America's Test Kitchen: Let's Get Cooking","DS",6.3
87,"Pokemon HeartGold Version","DS",9.1
87,"Pokemon SoulSilver Version","DS",9.2
76,"Endless Ocean: Blue World","WII",8.6
84,"Spotto!","DS",5.8
77,"Number Battle","DS",6.8
69,"Glory of Heracles","DS",7.4
82,"Starship Defense","DS",7.5
67,"Phoenix Wright: Ace Attorney","WII",8.7
87,"The Legend of Zelda: Spirit Tracks","DS",7.9
59,"Pokemon Rumble","WII",8.2
83,"Art Style: DIGIDRIVE","DS",6.8
87,"New Super Mario Bros. Wii","WII",8.4
70,"Excitebike: World Rally","WII",7.5
73,"Style Savvy","DS",7.5
54,"Pokemon Mystery Dungeon: Explorers of Sky","DS",9
80,"Wii Fit Plus","WII",7.6
79,"You, Me, and the Cubes","WII",7
90,"Mario & Luigi: Bowser's Inside Story","DS",8.8
84,"Professor Layton and the Diabolical Box","DS",8.5
91,"Metroid Prime Trilogy","WII",9.2
93,"Flipnote Studio","DS",7.7
70,"Fossil Fighters","DS",8.4
80,"Wii Sports Resort","WII",8.3
80,"Bit.Trip Core","WII",8.1
80,"Art Style: BOXLIFE","DS",6.8
82,"Mario vs. Donkey Kong: Minis March Again!","DS",7.9
75,"The Legendary Starfy","DS",8.4
69,"Personal Trainer: Walking","DS",7.3
86,"Punch-Out!!","WII",8.6
83,"Art Style: PiCTOBiTS","DS",7.5
78,"New Play Control! Donkey Kong Jungle Beat","WII",8.5
51,"Paper Airplane Chase","DS",7.2
76,"Dr. Mario Express","DS",7.4
77,"Excitebots: Trick Racing","WII",8.1
83,"Rhythm Heaven","DS",8.4
70,"Art Style: AQUIA","DS",7.3
71,"Bird & Beans","DS",7.8
53,"WarioWare: Snapped!","DS",4.1
75,"Bonsai Barber","WII",7.4
83,"Pokemon Platinum Version","DS",8.9
80,"Bit.Trip Beat","WII",8.3
77,"New Play Control! Pikmin","WII",8.4
65,"New Play Control! Mario Power Tennis","WII",7.6
81,"Fire Emblem: Shadow Dragon","DS",7.1
85,"Maboshi's Arcade","WII",7.9
81,"Personal Trainer: Cooking","DS",8.1
73,"Animal Crossing: City Folk","WII",7.9
68,"Pokemon Ranger: Shadows of Almia","DS",7.9
63,"Wii Music","WII",4.8
73,"Art Style: CUBELLO","WII",7.6
82,"Art Style: ORBIENT","WII",8.2
78,"Wario Land: Shake It!","WII",8.5
76,"Kirby Super Star Ultra","DS",8.8
69,"Mario Super Sluggers","WII",7.9
70,"Magnetica Twist","WII",7.8
47,"My Pokemon Ranch","WII",5.3
72,"Dr. Mario Online RX","WII",8.2
